latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
11.79885,99.64428,367.0,0.45,0.63,2026-01-16,559,N20,VIIRS,h,2.0NRT,294.79,8.46,D
11.80004,99.6414,367.0,0.45,0.63,2026-01-16,559,N20,VIIRS,h,2.0NRT,295.47,10.85,D
13.32234,99.83933,337.01,0.41,0.61,2026-01-16,559,N20,VIIRS,n,2.0NRT,299.41,4.04,D
16.36874,96.1833,328.11,0.62,0.72,2026-01-16,559,N20,VIIRS,n,2.0NRT,295.82,2.98,D
16.50144,96.38656,327.89,0.6,0.71,2026-01-16,559,N20,VIIRS,n,2.0NRT,296.32,3.21,D
18.42018,99.86298,325.45,0.33,0.55,2026-01-16,559,N20,VIIRS,n,2.0NRT,295.58,1.35,D
18.64277,95.2112,331.69,0.65,0.73,2026-01-16,559,N20,VIIRS,n,2.0NRT,295.86,3.34,D
18.64487,95.22569,340.28,0.64,0.72,2026-01-16,559,N20,VIIRS,n,2.0NRT,295.73,6.46,D
18.64684,95.22898,337.2,0.64,0.72,2026-01-16,559,N20,VIIRS,n,2.0NRT,294.94,5.47,D
18.84287,97.35414,332.18,0.46,0.64,2026-01-16,559,N20,VIIRS,n,2.0NRT,292.76,2.61,D
18.96861,96.34026,338.63,0.54,0.68,2026-01-16,559,N20,VIIRS,n,2.0NRT,293.3,5.43,D
19.64225,96.9996,325.73,0.47,0.64,2026-01-16,559,N20,VIIRS,n,2.0NRT,293.83,5.98,D
19.70878,99.43232,341.28,0.33,0.55,2026-01-16,559,N20,VIIRS,n,2.0NRT,292.58,3.47,D
19.74553,95.2247,331.02,0.61,0.71,2026-01-16,559,N20,VIIRS,n,2.0NRT,296.05,2.43,D
19.74571,95.22078,328.14,0.61,0.71,2026-01-16,559,N20,VIIRS,n,2.0NRT,295.86,2.27,D
19.80555,95.42793,328.77,0.59,0.7,2026-01-16,559,N20,VIIRS,n,2.0NRT,296.2,2.29,D
19.88089,96.87351,330.84,0.48,0.64,2026-01-16,559,N20,VIIRS,n,2.0NRT,292.68,5.53,D
19.9733,97.26669,329.28,0.45,0.63,2026-01-16,559,N20,VIIRS,n,2.0NRT,298.31,5.01,D
19.97895,97.2654,332.01,0.45,0.63,2026-01-16,559,N20,VIIRS,n,2.0NRT,298.99,5.01,D
19.97983,97.26943,367.0,0.45,0.63,2026-01-16,559,N20,VIIRS,h,2.0NRT,296.76,5.01,D
20.00406,97.26101,329.19,0.45,0.63,2026-01-16,559,N20,VIIRS,n,2.0NRT,294.11,2.09,D
