id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
83969,35.682,138.69,300.6,967.0,2663.0,2026-01-18,11,Him9,NaN,64,1.1NRT,278.9,30.2,D
83970,25.337,118.835,300.5,1437.0,1708.0,2026-01-18,12,Him9,NaN,73,1.1NRT,284.8,27.7,D
83971,35.682,138.69,307.3,967.0,2663.0,2026-01-18,21,Him9,NaN,76,1.1NRT,279.7,48.3,D
83972,36.28,139.755,312.1,943.0,2710.0,2026-01-18,21,Him9,NaN,84,1.1NRT,280.9,63.0,D
83973,36.281,139.732,308.9,943.0,2709.0,2026-01-18,21,Him9,NaN,56,1.1NRT,281.2,50.4,D
83974,36.381,139.8,300.3,939.0,2712.0,2026-01-18,21,Him9,NaN,68,1.1NRT,280.0,26.2,D
83975,36.813,140.05,310.9,922.0,2723.0,2026-01-18,21,Him9,NaN,69,1.1NRT,279.4,61.1,D
83976,36.813,140.073,317.7,922.0,2724.0,2026-01-18,21,Him9,NaN,77,1.1NRT,279.8,89.9,D
83977,16.13,75.98,289.0,1290.0,2860.0,2026-01-18,22,Met9,NaN,78,1.1NRT,285.0,32.6,D
83978,25.337,118.835,301.2,1437.0,1708.0,2026-01-18,22,Him9,NaN,74,1.1NRT,285.3,28.2,D
83979,25.358,118.83,300.0,1436.0,1708.0,2026-01-18,22,Him9,NaN,72,1.1NRT,285.0,24.7,D
83980,35.682,138.667,311.6,967.0,2662.0,2026-01-18,31,Him9,NaN,74,1.1NRT,280.9,61.2,D
83981,35.682,138.69,302.6,967.0,2663.0,2026-01-18,31,Him9,NaN,66,1.1NRT,280.3,33.8,D
83982,36.28,139.755,315.2,943.0,2710.0,2026-01-18,31,Him9,NaN,85,1.1NRT,281.7,74.0,D
83983,36.281,139.732,315.5,943.0,2709.0,2026-01-18,31,Him9,NaN,66,1.1NRT,281.9,73.4,D
83984,36.381,139.8,303.6,939.0,2712.0,2026-01-18,31,Him9,NaN,73,1.1NRT,280.6,33.3,D
83985,36.813,140.05,302.2,922.0,2723.0,2026-01-18,31,Him9,NaN,58,1.1NRT,279.6,32.8,D
83986,36.813,140.073,309.3,922.0,2724.0,2026-01-18,31,Him9,NaN,69,1.1NRT,280.1,55.1,D
83987,25.337,118.835,305.1,1437.0,1708.0,2026-01-18,32,Him9,NaN,78,1.1NRT,285.4,37.4,D
83988,25.358,118.83,301.6,1436.0,1708.0,2026-01-18,32,Him9,NaN,74,1.1NRT,285.0,27.1,D
83989,35.682,138.667,308.1,967.0,2662.0,2026-01-18,41,Him9,NaN,69,1.1NRT,281.4,47.5,D
83990,35.682,138.69,302.0,967.0,2663.0,2026-01-18,41,Him9,NaN,59,1.1NRT,281.2,30.5,D
83991,36.28,139.755,303.3,943.0,2710.0,2026-01-18,41,Him9,NaN,58,1.1NRT,281.9,30.1,D
83992,36.281,139.732,307.4,943.0,2709.0,2026-01-18,41,Him9,NaN,54,1.1NRT,282.0,42.2,D
83993,36.381,139.8,315.5,939.0,2712.0,2026-01-18,41,Him9,NaN,84,1.1NRT,281.7,72.9,D
83994,36.813,140.073,302.2,922.0,2724.0,2026-01-18,41,Him9,NaN,62,1.1NRT,280.5,32.6,D
83995,36.838,140.073,300.0,921.0,2724.0,2026-01-18,41,Him9,NaN,51,1.1NRT,280.9,26.7,D
83996,25.337,118.835,303.7,1437.0,1708.0,2026-01-18,42,Him9,NaN,77,1.1NRT,286.2,31.4,D
83997,25.358,118.83,302.2,1436.0,1708.0,2026-01-18,42,Him9,NaN,75,1.1NRT,285.9,27.3,D
83998,26.671,118.895,298.7,1375.0,1724.0,2026-01-18,42,Him9,NaN,69,1.1NRT,282.3,25.8,D
83999,35.682,138.667,308.9,967.0,2662.0,2026-01-18,51,Him9,NaN,61,1.1NRT,282.1,47.9,D
84000,35.682,138.69,309.7,967.0,2663.0,2026-01-18,51,Him9,NaN,73,1.1NRT,282.2,52.4,D
84001,36.28,139.755,302.7,943.0,2710.0,2026-01-18,51,Him9,NaN,57,1.1NRT,282.6,26.2,D
84002,36.281,139.732,303.9,943.0,2709.0,2026-01-18,51,Him9,NaN,52,1.1NRT,282.6,30.3,D
84003,36.306,139.755,304.7,942.0,2710.0,2026-01-18,51,Him9,NaN,57,1.1NRT,282.7,31.0,D
84004,36.381,139.8,307.6,939.0,2712.0,2026-01-18,51,Him9,NaN,75,1.1NRT,282.3,41.9,D
84005,36.813,140.05,301.7,922.0,2723.0,2026-01-18,51,Him9,NaN,59,1.1NRT,280.7,29.3,D
84006,36.813,140.073,306.0,922.0,2724.0,2026-01-18,51,Him9,NaN,60,1.1NRT,281.3,41.6,D
84007,36.839,140.049,299.4,921.0,2723.0,2026-01-18,51,Him9,NaN,53,1.1NRT,281.4,23.3,D
84008,25.337,118.835,302.6,1437.0,1708.0,2026-01-18,52,Him9,NaN,75,1.1NRT,286.8,26.4,D
84009,22.08,81.43,282.0,1101.0,2961.0,2026-01-18,53,Met9,NaN,58,1.1NRT,280.5,14.2,D
84010,35.682,138.667,314.4,967.0,2662.0,2026-01-18,101,Him9,NaN,81,1.1NRT,283.2,67.6,D
84011,35.682,138.69,314.8,967.0,2663.0,2026-01-18,101,Him9,NaN,85,1.1NRT,283.0,70.4,D
84012,36.28,139.755,301.5,943.0,2710.0,2026-01-18,101,Him9,NaN,53,1.1NRT,283.5,21.0,D
84013,36.281,139.732,302.6,943.0,2709.0,2026-01-18,101,Him9,NaN,55,1.1NRT,283.5,25.1,D
84014,36.33,140.008,301.7,941.0,2721.0,2026-01-18,101,Him9,NaN,74,1.1NRT,284.3,21.7,D
84015,36.381,139.8,319.4,939.0,2712.0,2026-01-18,101,Him9,NaN,89,1.1NRT,283.3,87.4,D
84016,36.382,139.777,303.2,939.0,2711.0,2026-01-18,101,Him9,NaN,70,1.1NRT,282.5,25.9,D
84017,25.337,118.835,302.0,1437.0,1708.0,2026-01-18,102,Him9,NaN,70,1.1NRT,286.9,22.8,D
84018,25.358,118.83,301.7,1436.0,1708.0,2026-01-18,102,Him9,NaN,68,1.1NRT,287.0,22.2,D
84019,7.692,124.916,310.1,2331.0,1899.0,2026-01-18,104,Him9,NaN,75,1.1NRT,291.1,22.9,D
84020,38.06,67.23,282.0,619.0,2449.0,2026-01-18,110,Met9,NaN,56,1.1NRT,269.1,50.5,D
84021,38.06,67.28,287.4,619.0,2450.0,2026-01-18,110,Met9,NaN,73,1.1NRT,269.1,79.0,D
84022,35.682,138.69,312.0,967.0,2663.0,2026-01-18,111,Him9,NaN,84,1.1NRT,283.2,58.2,D
84023,36.305,140.008,300.8,942.0,2721.0,2026-01-18,111,Him9,NaN,69,1.1NRT,285.0,16.8,D
84024,36.33,140.008,301.2,941.0,2721.0,2026-01-18,111,Him9,NaN,69,1.1NRT,285.1,18.6,D
84025,36.381,139.8,325.7,939.0,2712.0,2026-01-18,111,Him9,NaN,93,1.1NRT,284.2,118.9,D
84026,36.382,139.777,306.5,939.0,2711.0,2026-01-18,111,Him9,NaN,60,1.1NRT,283.1,32.2,D
84027,36.457,140.076,316.3,936.0,2724.0,2026-01-18,111,Him9,NaN,80,1.1NRT,283.5,73.7,D
84028,36.482,140.076,303.5,935.0,2724.0,2026-01-18,111,Him9,NaN,67,1.1NRT,283.2,28.3,D
84029,36.813,140.05,317.2,922.0,2723.0,2026-01-18,111,Him9,NaN,88,1.1NRT,282.0,82.7,D
84030,36.838,140.026,302.2,921.0,2722.0,2026-01-18,111,Him9,NaN,70,1.1NRT,282.0,29.5,D
84031,36.839,140.049,321.8,921.0,2723.0,2026-01-18,111,Him9,NaN,91,1.1NRT,282.9,104.3,D
84032,25.337,118.835,305.2,1437.0,1708.0,2026-01-18,112,Him9,NaN,76,1.1NRT,287.9,29.8,D
84033,25.358,118.83,300.8,1436.0,1708.0,2026-01-18,112,Him9,NaN,61,1.1NRT,287.4,17.9,D
84034,35.682,138.69,314.8,967.0,2663.0,2026-01-18,121,Him9,NaN,86,1.1NRT,283.9,68.2,D
84035,36.356,139.8,324.9,940.0,2712.0,2026-01-18,121,Him9,NaN,78,1.1NRT,285.2,109.9,D
84036,36.381,139.8,344.3,939.0,2712.0,2026-01-18,121,Him9,NaN,100,1.1NRT,285.6,257.4,D
84037,36.382,139.777,324.4,939.0,2711.0,2026-01-18,121,Him9,NaN,86,1.1NRT,283.5,105.6,D
84038,36.813,140.05,313.6,922.0,2723.0,2026-01-18,121,Him9,NaN,81,1.1NRT,282.1,64.5,D
84039,36.813,140.073,310.3,922.0,2724.0,2026-01-18,121,Him9,NaN,63,1.1NRT,282.7,51.6,D
84040,36.839,140.049,309.2,921.0,2723.0,2026-01-18,121,Him9,NaN,73,1.1NRT,283.1,47.9,D
84041,25.337,118.835,307.8,1437.0,1708.0,2026-01-18,122,Him9,NaN,78,1.1NRT,288.0,36.0,D
84042,36.281,139.709,310.4,943.0,2708.0,2026-01-18,131,Him9,NaN,57,1.1NRT,286.2,44.0,D
84043,36.356,139.8,321.1,940.0,2712.0,2026-01-18,131,Him9,NaN,78,1.1NRT,285.6,87.7,D
84044,36.381,139.8,333.4,939.0,2712.0,2026-01-18,131,Him9,NaN,97,1.1NRT,284.8,163.4,D
84045,36.407,139.8,301.1,938.0,2712.0,2026-01-18,131,Him9,NaN,61,1.1NRT,284.3,16.5,D
84046,36.813,140.073,302.1,922.0,2724.0,2026-01-18,131,Him9,NaN,57,1.1NRT,282.4,25.8,D
84047,36.839,140.049,303.6,921.0,2723.0,2026-01-18,131,Him9,NaN,72,1.1NRT,283.2,30.6,D
84048,22.122,100.447,299.9,1624.0,942.0,2026-01-18,132,Him9,NaN,70,1.1NRT,286.5,32.3,D
84049,25.337,118.835,305.3,1437.0,1708.0,2026-01-18,132,Him9,NaN,69,1.1NRT,289.1,26.5,D
84050,21.76,94.03,289.2,1130.0,3236.0,2026-01-18,138,Met9,NaN,54,1.1NRT,286.8,37.8,D
84051,36.356,139.8,317.5,940.0,2712.0,2026-01-18,141,Him9,NaN,81,1.1NRT,286.2,69.6,D
84052,36.381,139.8,336.3,939.0,2712.0,2026-01-18,141,Him9,NaN,98,1.1NRT,285.5,184.1,D
84053,36.813,140.073,308.6,922.0,2724.0,2026-01-18,141,Him9,NaN,80,1.1NRT,283.2,45.2,D
84054,25.337,118.835,305.0,1437.0,1708.0,2026-01-18,142,Him9,NaN,62,1.1NRT,289.8,23.5,D
84055,12.231,106.629,307.8,2105.0,1067.0,2026-01-18,143,Him9,NaN,68,1.1NRT,294.3,23.6,D
84056,12.25,106.625,311.6,2104.0,1067.0,2026-01-18,143,Him9,NaN,84,1.1NRT,294.0,36.0,D
84057,13.699,108.509,307.0,2027.0,1155.0,2026-01-18,143,Him9,NaN,71,1.1NRT,295.5,22.5,D
84058,14.357,105.072,305.3,1998.0,1022.0,2026-01-18,143,Him9,NaN,51,1.1NRT,281.9,24.7,D
84059,14.377,105.067,304.9,1997.0,1022.0,2026-01-18,143,Him9,NaN,59,1.1NRT,281.3,22.4,D
84060,36.356,139.777,315.5,940.0,2711.0,2026-01-18,151,Him9,NaN,74,1.1NRT,287.0,58.7,D
84061,36.356,139.8,334.2,940.0,2712.0,2026-01-18,151,Him9,NaN,97,1.1NRT,287.6,164.9,D
84062,36.381,139.8,339.3,939.0,2712.0,2026-01-18,151,Him9,NaN,99,1.1NRT,286.7,205.1,D
84063,36.382,139.777,321.0,939.0,2711.0,2026-01-18,151,Him9,NaN,88,1.1NRT,284.9,84.4,D
84064,36.813,140.073,302.4,922.0,2724.0,2026-01-18,151,Him9,NaN,59,1.1NRT,283.7,25.1,D
84065,25.337,118.835,309.5,1437.0,1708.0,2026-01-18,152,Him9,NaN,76,1.1NRT,290.2,36.0,D
84066,25.358,118.83,307.4,1436.0,1708.0,2026-01-18,152,Him9,NaN,70,1.1NRT,290.1,30.0,D
84067,16.076,107.011,301.8,1908.0,1114.0,2026-01-18,153,Him9,NaN,61,1.1NRT,288.0,20.5,D
84068,19.55,80.53,286.1,1181.0,2959.0,2026-01-18,153,Met9,NaN,52,1.1NRT,284.1,18.4,D
84069,38.06,67.23,281.1,619.0,2449.0,2026-01-18,155,Met9,NaN,51,1.1NRT,268.9,50.7,D
84070,38.06,67.28,284.8,619.0,2450.0,2026-01-18,155,Met9,NaN,69,1.1NRT,268.7,69.0,D
84071,36.356,139.777,307.1,940.0,2711.0,2026-01-18,201,Him9,NaN,60,1.1NRT,287.6,26.4,D
84072,36.356,139.8,318.3,940.0,2712.0,2026-01-18,201,Him9,NaN,89,1.1NRT,287.1,70.7,D
84073,36.381,139.8,314.9,939.0,2712.0,2026-01-18,201,Him9,NaN,87,1.1NRT,285.9,55.9,D
84074,36.382,139.777,305.9,939.0,2711.0,2026-01-18,201,Him9,NaN,65,1.1NRT,285.2,23.3,D
84075,36.813,140.05,307.0,922.0,2723.0,2026-01-18,201,Him9,NaN,80,1.1NRT,283.8,37.9,D
84076,25.337,118.835,311.0,1437.0,1708.0,2026-01-18,202,Him9,NaN,78,1.1NRT,290.8,39.6,D
84077,12.302,107.743,305.0,2100.0,1113.0,2026-01-18,203,Him9,NaN,63,1.1NRT,286.3,21.3,D
