id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
35889,25.32477,118.84898,322.08,1.11,1.05,2026-01-18,113,Terra,MODIS,81,6.1NRT,288.08,23.17,D
35890,25.32617,118.8382,309.84,1.11,1.05,2026-01-18,113,Terra,MODIS,69,6.1NRT,288.02,10.79,D
35891,26.53866,118.7792,315.9,1.15,1.07,2026-01-18,113,Terra,MODIS,76,6.1NRT,284.51,19.89,D
35892,26.64844,118.91158,317.75,1.13,1.06,2026-01-18,113,Terra,MODIS,78,6.1NRT,284.97,21.69,D
35893,26.65205,119.1806,300.63,1.11,1.05,2026-01-18,113,Terra,MODIS,40,6.1NRT,283.61,7.08,D
35894,26.99459,119.52006,301.79,1.08,1.04,2026-01-18,113,Terra,MODIS,49,6.1NRT,285.95,7.05,D
35895,27.20285,118.88581,317.26,1.15,1.07,2026-01-18,113,Terra,MODIS,77,6.1NRT,286.15,20.92,D
35896,22.53887,120.34928,311.41,1.0,1.0,2026-01-18,115,Terra,MODIS,0,6.1NRT,293.56,6.73,D
35897,16.03091,121.06126,309.54,1.13,1.06,2026-01-18,117,Terra,MODIS,69,6.1NRT,292.17,6.91,D
35898,16.03245,121.05122,309.58,1.13,1.06,2026-01-18,117,Terra,MODIS,69,6.1NRT,289.97,7.06,D
35899,7.71716,124.98303,309.51,2.97,1.64,2026-01-18,119,Terra,MODIS,65,6.1NRT,285.39,27.5,D
35900,7.71955,124.99026,306.47,2.97,1.64,2026-01-18,119,Terra,MODIS,58,6.1NRT,285.41,17.96,D
35901,36.65069,101.57237,310.44,1.1,1.04,2026-01-18,249,Terra,MODIS,53,6.1NRT,267.29,16.63,D
35902,25.44642,102.41667,300.09,1.9,1.35,2026-01-18,251,Terra,MODIS,27,6.1NRT,283.75,14.18,D
35903,25.45191,102.41129,306.05,1.9,1.35,2026-01-18,251,Terra,MODIS,61,6.1NRT,283.86,22.12,D
35904,25.68956,103.43076,300.42,2.23,1.45,2026-01-18,251,Terra,MODIS,36,6.1NRT,283.37,16.61,D
35905,25.76283,100.38012,304.22,1.37,1.16,2026-01-18,251,Terra,MODIS,58,6.1NRT,284.52,11.0,D
35906,25.77229,101.65305,305.91,1.66,1.27,2026-01-18,251,Terra,MODIS,54,6.1NRT,287.61,15.98,D
35907,25.79663,101.716,304.19,1.67,1.27,2026-01-18,251,Terra,MODIS,45,6.1NRT,286.04,12.9,D
35908,26.16006,100.40982,301.61,1.36,1.15,2026-01-18,251,Terra,MODIS,20,6.1NRT,289.85,7.61,D
