id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
121653,34.46871,133.43257,344.07,0.41,0.61,2026-01-18,323,N,VIIRS,n,2.0NRT,289.82,5.66,D
121654,34.7238,134.82953,330.24,0.34,0.56,2026-01-18,323,N,VIIRS,n,2.0NRT,289.67,4.61,D
121655,35.02814,136.86842,331.82,0.52,0.5,2026-01-18,323,N,VIIRS,n,2.0NRT,293.25,6.85,D
121656,35.02942,136.87399,348.68,0.52,0.5,2026-01-18,323,N,VIIRS,n,2.0NRT,292.31,8.42,D
121657,35.03197,136.88503,326.02,0.52,0.5,2026-01-18,323,N,VIIRS,n,2.0NRT,291.9,2.95,D
121658,35.30504,139.9818,326.95,0.53,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,289.94,3.59,D
121659,35.31034,139.96808,331.93,0.53,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,289.57,3.62,D
121660,35.31804,140.0873,344.19,0.53,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,289.47,9.85,D
121661,35.36753,139.84428,339.85,0.54,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,290.86,6.0,D
121662,35.3918,140.32089,341.7,0.51,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,291.45,19.39,D
121663,35.57908,140.0952,327.1,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,292.9,3.69,D
121664,35.66391,138.69788,339.56,0.4,0.44,2026-01-18,323,N,VIIRS,n,2.0NRT,289.73,5.96,D
121665,35.66817,138.67769,335.8,0.4,0.44,2026-01-18,323,N,VIIRS,n,2.0NRT,290.73,2.83,D
121666,35.6762,138.67525,329.08,0.4,0.44,2026-01-18,323,N,VIIRS,n,2.0NRT,288.72,1.69,D
121667,35.9402,140.67628,330.67,0.48,0.4,2026-01-18,323,N,VIIRS,n,2.0NRT,293.77,3.44,D
121668,36.09893,140.02612,328.24,0.51,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,289.83,5.98,D
121669,36.10249,139.92332,327.41,0.52,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,292.8,3.84,D
121670,36.10266,140.02499,330.93,0.51,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,289.34,5.98,D
121671,36.10451,139.92047,327.72,0.52,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,291.37,1.7,D
121672,36.16805,140.08005,332.89,0.51,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,290.86,1.74,D
121673,36.26795,139.74901,335.05,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,288.43,4.2,D
121674,36.27171,139.74785,330.12,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,288.52,6.28,D
121675,36.28019,140.4343,330.47,0.49,0.4,2026-01-18,323,N,VIIRS,n,2.0NRT,288.32,16.16,D
121676,36.28037,139.75131,329.7,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,292.54,10.26,D
121677,36.28151,139.75708,339.95,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,289.9,9.24,D
121678,36.28265,139.76282,332.22,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,289.6,9.24,D
121679,36.28591,140.44395,330.22,0.49,0.4,2026-01-18,323,N,VIIRS,n,2.0NRT,289.06,14.63,D
121680,36.2864,139.76167,345.86,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,290.68,9.24,D
121681,36.28852,140.4375,332.74,0.49,0.4,2026-01-18,323,N,VIIRS,n,2.0NRT,287.97,3.93,D
121682,36.29012,139.77049,326.52,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,288.74,3.3,D
121683,36.29243,139.77202,327.29,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,287.59,2.71,D
121684,36.29445,140.02327,331.55,0.51,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,289.49,3.82,D
121685,36.31276,140.31476,325.76,0.49,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,289.52,1.73,D
121686,36.34925,139.80719,331.07,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,289.36,4.41,D
121687,36.36425,139.80264,332.66,0.52,0.42,2026-01-18,323,N,VIIRS,n,2.0NRT,290.73,5.66,D
121688,36.46842,140.0925,329.52,0.5,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,286.64,3.33,D
121689,36.4687,140.09023,329.22,0.5,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,287.06,3.5,D
121690,36.79955,140.08054,335.73,0.5,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,287.07,6.22,D
121691,36.79971,140.07814,343.57,0.5,0.41,2026-01-18,323,N,VIIRS,n,2.0NRT,286.92,5.42,D
121692,40.53707,141.50378,338.63,0.4,0.37,2026-01-18,325,N,VIIRS,n,2.0NRT,278.15,13.99,D
121693,5.7037,125.29797,330.66,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,295.97,2.07,D
121694,5.98387,125.0798,332.85,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,301.03,4.57,D
121695,5.98446,125.08359,340.38,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,303.41,4.57,D
121696,5.98734,125.07928,335.7,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,301.95,2.9,D
121697,6.14248,125.25212,347.54,0.42,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,300.07,8.7,D
121698,6.23874,125.39512,332.07,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,298.15,3.55,D
121699,6.23933,125.39889,331.05,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,294.98,3.55,D
121700,6.25975,125.21887,331.27,0.42,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,296.63,1.74,D
121701,6.36761,124.60416,330.69,0.44,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,294.26,2.14,D
121702,6.39632,125.39991,333.6,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,297.82,3.26,D
121703,6.62537,125.03134,346.24,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,298.08,4.86,D
121704,6.62597,125.03516,355.31,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,299.01,8.22,D
121705,6.68499,126.13478,333.3,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,294.72,1.72,D
121706,6.79367,124.53693,330.22,0.44,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,296.51,2.11,D
121707,6.88641,123.98304,331.95,0.46,0.39,2026-01-18,457,N,VIIRS,n,2.0NRT,294.47,4.03,D
121708,6.89006,123.98274,332.35,0.46,0.39,2026-01-18,457,N,VIIRS,n,2.0NRT,293.65,9.7,D
121709,6.89821,124.03441,343.08,0.46,0.39,2026-01-18,457,N,VIIRS,n,2.0NRT,296.22,14.23,D
121710,6.99443,126.36913,331.45,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,295.46,4.44,D
121711,7.05969,124.71098,332.79,0.43,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,297.13,2.28,D
121712,7.10332,124.71595,332.27,0.43,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,297.05,3.3,D
121713,7.11088,124.26366,336.02,0.45,0.39,2026-01-18,457,N,VIIRS,n,2.0NRT,297.0,11.01,D
121714,7.13229,124.44326,346.14,0.44,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,296.59,6.38,D
121715,7.14239,124.68618,330.71,0.43,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,296.42,3.22,D
121716,7.43634,124.74719,332.3,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,297.01,4.43,D
121717,7.44632,125.81258,331.18,0.39,0.37,2026-01-18,457,N,VIIRS,l,2.0NRT,302.74,2.51,D
121718,7.55135,124.24155,332.96,0.44,0.39,2026-01-18,457,N,VIIRS,n,2.0NRT,295.9,2.16,D
121719,7.577,124.8848,344.05,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,299.07,9.68,D
121720,7.62409,125.45355,337.35,0.4,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,300.41,8.33,D
121721,7.65618,125.39278,332.56,0.4,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,296.77,2.13,D
121722,7.66183,125.40692,333.62,0.4,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,296.45,3.15,D
121723,7.69127,124.94724,334.51,0.42,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,302.26,2.52,D
121724,7.69554,126.39354,332.8,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,295.61,1.8,D
121725,7.77033,124.93874,332.88,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,297.01,1.9,D
121726,7.80871,124.72157,330.07,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,299.22,2.16,D
121727,7.87854,125.56334,329.67,0.4,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,296.73,1.82,D
121728,8.05622,125.57916,330.34,0.4,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,298.54,2.73,D
121729,8.09962,123.12733,331.88,0.49,0.41,2026-01-18,457,N,VIIRS,n,2.0NRT,291.71,4.47,D
121730,8.12888,125.93539,332.2,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,298.24,2.11,D
121731,8.25409,125.78111,336.17,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,300.35,9.48,D
121732,8.26846,124.99817,333.23,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,298.2,8.35,D
121733,8.46523,125.00443,333.21,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,298.22,3.85,D
121734,8.5072,125.69321,335.12,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,297.38,3.29,D
121735,8.53098,124.495,331.67,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,298.86,2.13,D
121736,8.55335,124.78658,328.2,0.41,0.37,2026-01-18,457,N,VIIRS,l,2.0NRT,298.75,2.15,D
121737,8.55636,124.78596,335.53,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,299.51,2.36,D
121738,8.55678,124.78608,348.26,0.41,0.37,2026-01-18,457,N,VIIRS,n,2.0NRT,299.53,2.15,D
121739,9.85364,123.07004,330.67,0.47,0.4,2026-01-18,457,N,VIIRS,n,2.0NRT,291.54,2.74,D
121740,9.88846,125.58949,348.68,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,300.62,9.49,D
121741,9.89124,125.5854,331.54,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,297.57,9.49,D
121742,9.89179,125.58896,347.48,0.39,0.36,2026-01-18,457,N,VIIRS,n,2.0NRT,298.33,9.49,D
121743,10.31693,123.04774,337.41,0.47,0.4,2026-01-18,457,N,VIIRS,n,2.0NRT,292.52,4.48,D
121744,10.92348,123.21043,338.02,0.45,0.39,2026-01-18,457,N,VIIRS,n,2.0NRT,295.07,5.72,D
121745,11.1149,123.99304,327.23,0.42,0.38,2026-01-18,457,N,VIIRS,n,2.0NRT,284.08,2.17,D
121746,11.77681,120.02457,336.94,0.44,0.46,2026-01-18,457,N,VIIRS,n,2.0NRT,299.42,4.46,D
121747,11.77895,120.02713,331.52,0.44,0.46,2026-01-18,457,N,VIIRS,n,2.0NRT,294.05,3.76,D
121748,15.301,121.10277,327.37,0.51,0.41,2026-01-18,459,N,VIIRS,n,2.0NRT,297.91,2.99,D
121749,15.40554,121.10082,326.47,0.51,0.41,2026-01-18,459,N,VIIRS,n,2.0NRT,296.77,3.22,D
121750,21.79591,109.29709,326.1,0.69,0.74,2026-01-18,501,N,VIIRS,n,2.0NRT,292.73,2.95,D
121751,22.62869,111.79959,348.5,0.47,0.64,2026-01-18,501,N,VIIRS,n,2.0NRT,292.58,7.02,D
121752,23.37064,108.81353,337.13,0.68,0.74,2026-01-18,501,N,VIIRS,n,2.0NRT,288.5,4.95,D
121753,23.37157,108.81139,329.94,0.68,0.74,2026-01-18,501,N,VIIRS,n,2.0NRT,288.86,6.1,D
121754,23.85543,113.49436,331.51,0.35,0.56,2026-01-18,501,N,VIIRS,n,2.0NRT,293.53,2.31,D
121755,23.85944,113.49454,326.13,0.35,0.56,2026-01-18,501,N,VIIRS,n,2.0NRT,293.16,1.99,D
121756,23.89023,111.6762,333.34,0.45,0.63,2026-01-18,501,N,VIIRS,n,2.0NRT,289.85,3.49,D
121757,23.89108,111.67987,325.02,0.45,0.63,2026-01-18,501,N,VIIRS,n,2.0NRT,289.65,5.22,D
121758,23.89116,111.67631,348.41,0.45,0.63,2026-01-18,501,N,VIIRS,n,2.0NRT,290.81,4.79,D
121759,24.17792,115.70092,339.53,0.5,0.49,2026-01-18,501,N,VIIRS,n,2.0NRT,295.72,5.27,D
121760,24.17891,115.70578,326.54,0.5,0.49,2026-01-18,501,N,VIIRS,n,2.0NRT,294.87,4.38,D
121761,24.18826,115.729,326.42,0.5,0.49,2026-01-18,501,N,VIIRS,n,2.0NRT,295.39,1.8,D
121762,24.26806,113.41675,325.37,0.34,0.56,2026-01-18,501,N,VIIRS,n,2.0NRT,295.6,1.66,D
121763,24.26958,113.41486,326.0,0.34,0.56,2026-01-18,501,N,VIIRS,n,2.0NRT,295.89,1.69,D
121764,25.32771,118.84477,341.37,0.48,0.4,2026-01-18,501,N,VIIRS,n,2.0NRT,296.77,6.46,D
121765,25.33141,118.84422,349.29,0.48,0.4,2026-01-18,501,N,VIIRS,n,2.0NRT,304.81,36.0,D
121766,25.41838,118.5927,326.75,0.49,0.4,2026-01-18,501,N,VIIRS,n,2.0NRT,296.12,2.28,D
121767,25.45837,118.67791,331.85,0.49,0.4,2026-01-18,501,N,VIIRS,n,2.0NRT,293.67,5.26,D
121768,24.79126,112.00269,367.0,0.41,0.6,2026-01-18,503,N,VIIRS,h,2.0NRT,292.46,11.61,D
121769,25.2567,113.72911,328.24,0.63,0.54,2026-01-18,503,N,VIIRS,n,2.0NRT,293.33,7.46,D
121770,25.47357,114.98283,337.76,0.52,0.5,2026-01-18,503,N,VIIRS,n,2.0NRT,295.1,5.49,D
121771,25.82611,111.3821,334.85,0.42,0.61,2026-01-18,503,N,VIIRS,n,2.0NRT,289.73,3.33,D
121772,25.83415,119.20103,329.81,0.46,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,292.48,10.32,D
121773,25.83498,119.20572,355.45,0.46,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,297.57,31.3,D
121774,25.92005,116.06979,332.16,0.44,0.46,2026-01-18,503,N,VIIRS,n,2.0NRT,297.41,2.24,D
121775,25.92408,116.07102,330.43,0.44,0.46,2026-01-18,503,N,VIIRS,n,2.0NRT,296.29,2.69,D
121776,26.54678,118.77139,329.84,0.47,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,295.18,1.81,D
121777,26.54716,118.77486,330.57,0.47,0.4,2026-01-18,503,N,VIIRS,n,2.0NRT,298.42,2.73,D
121778,26.55491,118.79763,327.22,0.47,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,295.95,2.37,D
121779,26.56107,118.78822,325.26,0.47,0.39,2026-01-18,503,N,VIIRS,l,2.0NRT,296.22,2.36,D
121780,26.56469,118.78755,327.06,0.47,0.39,2026-01-18,503,N,VIIRS,n,2.0NRT,296.31,2.36,D
121781,26.79458,119.71977,327.53,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,295.32,3.84,D
121782,26.98774,119.82655,338.31,0.42,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,294.23,4.92,D
121783,26.99321,119.52477,334.5,0.43,0.38,2026-01-18,503,N,VIIRS,n,2.0NRT,297.05,3.79,D
